Series,Sheet,Hisense_model,Colour,EU_model_Indoor,EU_model_Outdoor,Type,Pdesign_Cooling_W,Pdesign_Heating_Average_W,SEER,SCOP_Heating_Average,SCOP_Heating_Warm,EnergyClass_Cooling,EnergyClass_Heating_Average,EnergyClass_Heating_Warm,CoolingCapacity_Nom,CoolingCapacity_Min,CoolingCapacity_Max,HeatingCapacity_Nom,HeatingCapacity_Min,HeatingCapacity_Max,InputCooling_Nom,InputCooling_Min,InputCooling_Max,InputHeating_Nom,InputHeating_Min,InputHeating_Max,RatedInput_Cooling_W,RatedInput_Heating_W,PowerSupply,RatedCurrent_A,Indoor_SoundPressure,Indoor_SoundPower_dBA,Outdoor_SoundPower_dBA,Outdoor_SoundPressure_dBA,LiquidPipe,GasPipe,Evaporator,Condenser
Energy Nordic Pro-QH,Energy Nordic Pro-QH,AST-09UW4RXVQH02,White,QH25XV2AG,AS25XV2EW,"T1, H/P, INVERTER",2600.0,2900.0,7.8,4.6,5.3,A++,A++,A+++,2600.0,1000.0,4000.0,3200.0,1600.0,4200.0,,,,,,,620.0,770.0,,2.8,40/37/34/31/29/25,56.0,64.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Nordic Pro-QH,Energy Nordic Pro-QH,AST-12UW4RXVQH02,White,QH35XV2AG,AS35XV2EW,"T1, H/P, INVERTER",3500.0,2900.0,7.5,4.6,5.1,A++,A++,A+++,3500.0,1000.0,4400.0,4200.0,1600.0,4800.0,,,,,,,930.0,1105.0,,4.1,40/37/34/31/29/25,56.0,64.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Nordic Pro-QH,Energy Nordic Pro-QH,AST-09UW4RXVQH02,Black,QH25XV2BG,AS25XV2EW,"T1, H/P, INVERTER",2600.0,2900.0,7.8,4.6,5.3,A++,A++,A+++,2600.0,1000.0,4000.0,3200.0,1600.0,4200.0,,,,,,,620.0,770.0,,2.8,40/37/34/31/29/25,56.0,64.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Nordic Pro-QH,Energy Nordic Pro-QH,AST-12UW4RXVQH02,Black,QH35XV2BG,AS35XV2EW,"T1, H/P, INVERTER",3500.0,2900.0,7.5,4.6,5.1,A++,A++,A+++,3500.0,1000.0,4400.0,4200.0,1600.0,4800.0,,,,,,,930.0,1105.0,,4.1,40/37/34/31/29/25,56.0,64.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro X-QH,Energy Pro X-QH,AST-09UW4RXVQH00B,White,QH25XV4AG,AS25XV4EW,"T1, H/P, INVERTER",2600.0,2400.0,8.8,5.1,6.1,A+++,A+++,A+++,2600.0,1000.0,4000.0,3200.0,1600.0,4200.0,,,,,,,535.0,790.0,,2.4,38/35/34/31/29/25,53.0,60.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro X-QH,Energy Pro X-QH,AST-12UW4RXVQH00B,White,QH35XV4AG,AS35XV4EW,"T1, H/P, INVERTER",3500.0,2600.0,8.5,5.1,5.8,A+++,A+++,A+++,3500.0,1000.0,4400.0,4000.0,1600.0,4800.0,,,,,,,830.0,1000.0,,3.7,38/36/33/32/30/25,55.0,65.0,53.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro X-QH,Energy Pro X-QH,AST-18UW4RBVQH00,White,QH50BV0AG,AS50BV0EW,"T1, H/P, INVERTER",5000.0,3800.0,7.4,4.6,5.1,A++,A++,A+++,5000.0,1500.0,5800.0,5200.0,1600.0,6000.0,,,,,,,1430.0,1400.0,,6.3,44/42/39/37/35/31,60.0,65.0,57.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro X-QH,Energy Pro X-QH,AST-09UW4RXVQH00B,Black,QH25XV4BG,AS25XV4EW,"T1, H/P, INVERTER",2600.0,2400.0,8.8,5.1,6.1,A+++,A+++,A+++,2600.0,1000.0,4000.0,3200.0,1600.0,4200.0,,,,,,,535.0,790.0,,2.4,38/35/34/31/29/25,53.0,60.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro X-QH,Energy Pro X-QH,AST-12UW4RXVQH00B,Black,QH35XV4BG,AS35XV4EW,"T1, H/P, INVERTER",3500.0,2600.0,8.5,5.1,5.8,A+++,A+++,A+++,3500.0,1000.0,4400.0,4000.0,1600.0,4800.0,,,,,,,830.0,1000.0,,3.7,38/36/33/32/30/25,55.0,65.0,53.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro X-QH,Energy Pro X-QH,AST-18UW4RBVQH00,Black,QH50BV0BG,AS50BV0EW,"T1, H/P, INVERTER",5000.0,3800.0,7.4,4.6,5.1,A++,A++,A+++,5000.0,1500.0,5800.0,5200.0,1600.0,6000.0,,,,,,,1430.0,1400.0,,6.3,44/42/39/37/35/31,60.0,65.0,57.0,1/4,1/2,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
